号段	使用归属地
1534360	甘肃兰州市
1534361	甘肃兰州市
1534362	甘肃兰州市
1534363	甘肃平凉市
1534364	甘肃临夏回族自治州
1534365	甘肃武威市
1534366	甘肃张掖市
1534367	甘肃白银市
1534368	甘肃天水市
1534369	甘肃定西市
1534690	甘肃临夏回族自治州
1534691	甘肃甘南藏族自治州
1534692	甘肃定西市
1534693	甘肃平凉市
1534694	甘肃庆阳市
1534695	甘肃武威市
1534696	甘肃张掖市
1534697	甘肃酒泉市
1534698	甘肃天水市
1534699	甘肃白银市
1537440	甘肃临夏回族自治州
1537441	甘肃白银市
1537442	甘肃定西市
1537443	甘肃平凉市
1537444	甘肃庆阳市
1537445	甘肃武威市
1537446	甘肃张掖市
1537447	甘肃甘南藏族自治州
1537448	甘肃天水市
1537449	甘肃陇南市
1800010	江苏徐州市
1800011	江苏徐州市
1800012	江苏宿迁市
1800013	江苏宿迁市
1800014	江苏宿迁市
1800015	江苏宿迁市
1800016	江苏连云港市
1800017	江苏连云港市
1800018	江苏连云港市
1800019	江苏连云港市
1800030	河北邯郸市
1800031	河北石家庄市
1800032	河北保定市
1800033	河北秦皇岛市
1800034	河北秦皇岛市
1800035	河北唐山市
1800036	河北廊坊市
1800037	河北沧州市
1800038	河北张家口市
1800039	河北邢台市
1800040	河北邯郸市
1800041	河北石家庄市
1800042	河北保定市
1800043	河北保定市
1800044	河北保定市
1800045	河北唐山市
1800046	河北廊坊市
1800047	河北沧州市
1800048	河北张家口市
1800049	河北邢台市
1803498	山西朔州市
1803499	山西朔州市
1804027	辽宁朝阳市
1804133	辽宁沈阳市
1804134	辽宁沈阳市
1804135	辽宁沈阳市
1804136	辽宁沈阳市
1804137	辽宁沈阳市
1804138	辽宁沈阳市
1804139	辽宁沈阳市
1804145	辽宁沈阳市
1804146	辽宁沈阳市
1804147	辽宁沈阳市
1804148	辽宁沈阳市
1804149	辽宁沈阳市
1804153	辽宁大连市
1804154	辽宁大连市
1804155	辽宁大连市
1804156	辽宁大连市
1804157	辽宁大连市
1804158	辽宁大连市
1804159	辽宁大连市
1804179	辽宁营口市
1804193	辽宁葫芦岛市
1804194	辽宁葫芦岛市
1804195	辽宁葫芦岛市
1804353	吉林长春市
1804354	吉林长春市
1804357	吉林长春市
1804358	吉林长春市
1804359	吉林长春市
1804363	吉林长春市
1804364	吉林长春市
1804367	吉林长春市
1804368	吉林长春市
1804369	吉林长春市
1805306	山东菏泽市
1805307	山东菏泽市
1805308	山东菏泽市
1805309	山东菏泽市
1805319	山东济南市
1805339	山东淄博市
1805347	山东德州市
1805348	山东德州市
1805349	山东德州市
1805378	山东济宁市
1805379	山东济宁市
1805383	山东日照市
1805385	山东青岛市
1805386	山东青岛市
1805387	山东烟台市
1805398	山东临沂市
1805399	山东临沂市
1805438	山东滨州市
1805439	山东滨州市
1805452	山东济宁市
1805453	山东临沂市
1805454	山东临沂市
1805465	山东东营市
1806313	山东日照市
1806315	山东临沂市
1806316	山东临沂市
1806317	山东滨州市
1806323	山东济宁市
1806325	山东济宁市
1806326	山东潍坊市
1806327	山东潍坊市
1806339	山东日照市
1806356	山东聊城市
1806357	山东聊城市
1806358	山东聊城市
1806359	山东聊城市
1808891	云南玉溪市
1808892	云南玉溪市
1808893	云南丽江市
1808894	云南普洱市
1808895	云南文山壮族苗族自治州
1808897	云南丽江市
1890000	北京北京
1890001	北京北京
1890002	北京北京
1890003	北京北京
1890004	北京北京
1890005	北京北京
1890006	北京北京
1890007	北京北京
1890008	北京北京
1890009	北京北京
1890010	北京北京
1890012	北京北京
1890013	北京北京
1890014	北京北京
1890015	北京北京
1890016	北京北京
1890017	北京北京
1890019	北京北京
1890040	北京北京
1890041	北京北京
1890042	北京北京
1890043	北京北京
1890044	北京北京
1890045	北京北京
1890046	北京北京
1890047	北京北京
1890048	北京北京
1890049	北京北京
1891950	四川凉山彝族自治州
1891951	四川泸州市
1891952	四川成都市
1891953	四川广安市
1891955	四川巴中市
1891956	四川成都市
1891957	四川成都市
1894146	辽宁本溪市
1894147	辽宁本溪市
1894148	辽宁本溪市
1894149	辽宁本溪市
1894190	辽宁辽阳市
1894191	辽宁辽阳市
1894192	辽宁辽阳市
1895470	山东烟台市
1895471	山东烟台市
1895472	山东烟台市
1895473	山东烟台市
1895474	山东烟台市
1899999	新疆乌鲁木齐市
1811000	北京北京
1811001	北京北京
1811002	北京北京
1811003	北京北京
1811004	北京北京
1811005	北京北京
1811006	北京北京
1811007	北京北京
1811008	北京北京
1811009	北京北京
1811010	北京北京
1811011	北京北京
1811012	北京北京
1811013	北京北京
1811014	北京北京
1811015	北京北京
1811016	北京北京
1811017	北京北京
1811018	北京北京
1811019	北京北京
1813504	山西忻州市
1813505	山西忻州市
1813506	山西忻州市
1813507	山西太原市
1813509	山西忻州市
1813521	山西晋城市
1813523	山西临汾市
1813524	山西太原市
1813528	山西太原市
1813529	山西大同市
1813531	山西吕梁市
1813532	山西晋中市
1813533	山西晋中市
1813534	山西运城市
1813536	山西晋中市
1813537	山西太原市
1813538	山西太原市
1813539	山西阳泉市
1813542	山西吕梁市
1813543	山西长治市
1813544	山西晋中市
1813545	山西运城市
1813546	山西太原市
1813547	山西太原市
1813549	山西晋中市
1813552	山西长治市
1813553	山西太原市
1813556	山西太原市
1813557	山西长治市
1813558	山西长治市
1813588	山西吕梁市
1813589	山西吕梁市
1813592	山西运城市
1813593	山西运城市
1813598	山西运城市
1813599	山西运城市
1814123	辽宁鞍山市
1814124	辽宁鞍山市
1814170	辽宁营口市
1814270	辽宁盘锦市
1814320	西藏日喀则地区
1814321	西藏拉萨市
1814322	西藏日喀则地区
1814323	西藏山南地区
1814324	西藏林芝地区
1814325	西藏昌都市
1814326	西藏那曲地区
1814327	西藏那曲地区
1814328	西藏拉萨市
1814329	西藏拉萨市
1814330	湖南张家界市
1814331	湖南永州市
1814332	湖南娄底市
1814333	湖南娄底市
1814334	湖南娄底市
1814335	湖南娄底市
1814336	湖南衡阳市
1814337	湖南衡阳市
1814338	湖南衡阳市
1814339	湖南衡阳市
1814340	浙江杭州市
1814341	浙江杭州市
1814342	浙江杭州市
1814343	浙江杭州市
1814344	浙江杭州市
1814345	浙江杭州市
1814346	浙江杭州市
1814347	浙江杭州市
1814348	浙江杭州市
1814349	浙江杭州市
1814350	贵州贵阳市
1814351	贵州贵阳市
1814352	贵州遵义市
1814353	贵州黔东南苗族侗族自治州
1814354	贵州黔南布依族苗族自治州
1814355	贵州贵阳市
1814356	贵州遵义市
1814357	贵州毕节市
1814359	贵州黔南布依族苗族自治州
1814360	吉林长春市
1814361	吉林松原市
1814362	吉林吉林市
1814363	吉林吉林市
1814364	吉林四平市
1814365	吉林吉林市
1814366	吉林白城市
1814367	吉林辽源市
1814369	吉林白山市
1814370	甘肃天水市
1814371	甘肃天水市
1814372	甘肃定西市
1814373	甘肃白银市
1814374	甘肃庆阳市
1814375	甘肃兰州市
1814376	甘肃兰州市
1814377	甘肃兰州市
1814378	甘肃兰州市
1814379	甘肃兰州市
1814531	黑龙江牡丹江市
1814532	黑龙江齐齐哈尔市
1814533	黑龙江齐齐哈尔市
1814534	黑龙江哈尔滨市
1814535	黑龙江鹤岗市
1814536	黑龙江鹤岗市
1814537	黑龙江双鸭山市
1814538	黑龙江双鸭山市
1814539	黑龙江大兴安岭地区
1814540	黑龙江七台河市
1814541	黑龙江七台河市
1814542	黑龙江伊春市
1814543	黑龙江佳木斯市
1814544	黑龙江佳木斯市
1814545	黑龙江佳木斯市
1814546	黑龙江佳木斯市
